#POSX	POSY	POSZ
-67.523	6.633	0.258
-76.690	2.680	0.329
-92.241	-0.993	0.668
-63.227	-3.443	0.208
-65.290	-8.825	0.201
-95.427	-14.086	0.632
-72.212	-16.106	0.250
-80.975	-18.207	0.390
-85.075	-21.003	0.524
-68.819	-27.479	0.140
-98.809	-29.470	0.573
-88.329	-30.866	0.423
-81.972	-41.489	0.206
-75.736	-41.816	0.068
-82.196	-51.535	0.204
-69.641	-53.448	-0.165
-72.214	-65.521	-0.040
90.628	249.048	0.878
-73.000	254.776	0.694
-208.838	163.207	0.777
-264.867	9.342	1.167
-219.747	-148.121	-0.055
