# antpos_x antpos_y antpos_z
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.200000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.800000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.400000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.600000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
4.200000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
4.800000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
5.400000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
6.600000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
7.200000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+00 6.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+00 -6.000000000000000000e+00 0.000000000000000000e+00
9.000000000000000000e+00 6.000000000000000000e+00 0.000000000000000000e+00
9.000000000000000000e+00 -6.000000000000000000e+00 0.000000000000000000e+00
1.500000000000000000e+01 6.000000000000000000e+00 0.000000000000000000e+00
1.500000000000000000e+01 -6.000000000000000000e+00 0.000000000000000000e+00
2.100000000000000000e+01 6.000000000000000000e+00 0.000000000000000000e+00
2.100000000000000000e+01 -6.000000000000000000e+00 0.000000000000000000e+00
2.700000000000000000e+01 6.000000000000000000e+00 0.000000000000000000e+00
2.700000000000000000e+01 -6.000000000000000000e+00 0.000000000000000000e+00
3.300000000000000000e+01 6.000000000000000000e+00 0.000000000000000000e+00
3.300000000000000000e+01 -6.000000000000000000e+00 0.000000000000000000e+00
3.900000000000000000e+01 6.000000000000000000e+00 0.000000000000000000e+00
3.900000000000000000e+01 -6.000000000000000000e+00 0.000000000000000000e+00
4.500000000000000000e+01 6.000000000000000000e+00 0.000000000000000000e+00
4.500000000000000000e+01 -6.000000000000000000e+00 0.000000000000000000e+00
5.100000000000000000e+01 6.000000000000000000e+00 0.000000000000000000e+00
5.100000000000000000e+01 -6.000000000000000000e+00 0.000000000000000000e+00
5.700000000000000000e+01 6.000000000000000000e+00 0.000000000000000000e+00
5.700000000000000000e+01 -6.000000000000000000e+00 0.000000000000000000e+00
6.300000000000000000e+01 6.000000000000000000e+00 0.000000000000000000e+00
6.300000000000000000e+01 -6.000000000000000000e+00 0.000000000000000000e+00
6.900000000000000000e+01 6.000000000000000000e+00 0.000000000000000000e+00
6.900000000000000000e+01 -6.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 1.200000000000000000e+01 0.000000000000000000e+00
6.000000000000000000e+00 -1.200000000000000000e+01 0.000000000000000000e+00
1.200000000000000000e+01 1.200000000000000000e+01 0.000000000000000000e+00
1.200000000000000000e+01 -1.200000000000000000e+01 0.000000000000000000e+00
1.800000000000000000e+01 1.200000000000000000e+01 0.000000000000000000e+00
1.800000000000000000e+01 -1.200000000000000000e+01 0.000000000000000000e+00
2.400000000000000000e+01 1.200000000000000000e+01 0.000000000000000000e+00
2.400000000000000000e+01 -1.200000000000000000e+01 0.000000000000000000e+00
3.000000000000000000e+01 1.200000000000000000e+01 0.000000000000000000e+00
3.000000000000000000e+01 -1.200000000000000000e+01 0.000000000000000000e+00
3.600000000000000000e+01 1.200000000000000000e+01 0.000000000000000000e+00
3.600000000000000000e+01 -1.200000000000000000e+01 0.000000000000000000e+00
4.200000000000000000e+01 1.200000000000000000e+01 0.000000000000000000e+00
4.200000000000000000e+01 -1.200000000000000000e+01 0.000000000000000000e+00
4.800000000000000000e+01 1.200000000000000000e+01 0.000000000000000000e+00
4.800000000000000000e+01 -1.200000000000000000e+01 0.000000000000000000e+00
5.400000000000000000e+01 1.200000000000000000e+01 0.000000000000000000e+00
5.400000000000000000e+01 -1.200000000000000000e+01 0.000000000000000000e+00
6.000000000000000000e+01 1.200000000000000000e+01 0.000000000000000000e+00
6.000000000000000000e+01 -1.200000000000000000e+01 0.000000000000000000e+00
6.600000000000000000e+01 1.200000000000000000e+01 0.000000000000000000e+00
6.600000000000000000e+01 -1.200000000000000000e+01 0.000000000000000000e+00
9.000000000000000000e+00 1.800000000000000000e+01 0.000000000000000000e+00
9.000000000000000000e+00 -1.800000000000000000e+01 0.000000000000000000e+00
1.500000000000000000e+01 1.800000000000000000e+01 0.000000000000000000e+00
1.500000000000000000e+01 -1.800000000000000000e+01 0.000000000000000000e+00
2.100000000000000000e+01 1.800000000000000000e+01 0.000000000000000000e+00
2.100000000000000000e+01 -1.800000000000000000e+01 0.000000000000000000e+00
2.700000000000000000e+01 1.800000000000000000e+01 0.000000000000000000e+00
2.700000000000000000e+01 -1.800000000000000000e+01 0.000000000000000000e+00
3.300000000000000000e+01 1.800000000000000000e+01 0.000000000000000000e+00
3.300000000000000000e+01 -1.800000000000000000e+01 0.000000000000000000e+00
3.900000000000000000e+01 1.800000000000000000e+01 0.000000000000000000e+00
3.900000000000000000e+01 -1.800000000000000000e+01 0.000000000000000000e+00
4.500000000000000000e+01 1.800000000000000000e+01 0.000000000000000000e+00
4.500000000000000000e+01 -1.800000000000000000e+01 0.000000000000000000e+00
5.100000000000000000e+01 1.800000000000000000e+01 0.000000000000000000e+00
5.100000000000000000e+01 -1.800000000000000000e+01 0.000000000000000000e+00
5.700000000000000000e+01 1.800000000000000000e+01 0.000000000000000000e+00
5.700000000000000000e+01 -1.800000000000000000e+01 0.000000000000000000e+00
6.300000000000000000e+01 1.800000000000000000e+01 0.000000000000000000e+00
6.300000000000000000e+01 -1.800000000000000000e+01 0.000000000000000000e+00
1.200000000000000000e+01 2.400000000000000000e+01 0.000000000000000000e+00
1.200000000000000000e+01 -2.400000000000000000e+01 0.000000000000000000e+00
1.800000000000000000e+01 2.400000000000000000e+01 0.000000000000000000e+00
1.800000000000000000e+01 -2.400000000000000000e+01 0.000000000000000000e+00
2.400000000000000000e+01 2.400000000000000000e+01 0.000000000000000000e+00
2.400000000000000000e+01 -2.400000000000000000e+01 0.000000000000000000e+00
3.000000000000000000e+01 2.400000000000000000e+01 0.000000000000000000e+00
3.000000000000000000e+01 -2.400000000000000000e+01 0.000000000000000000e+00
3.600000000000000000e+01 2.400000000000000000e+01 0.000000000000000000e+00
3.600000000000000000e+01 -2.400000000000000000e+01 0.000000000000000000e+00
4.200000000000000000e+01 2.400000000000000000e+01 0.000000000000000000e+00
4.200000000000000000e+01 -2.400000000000000000e+01 0.000000000000000000e+00
4.800000000000000000e+01 2.400000000000000000e+01 0.000000000000000000e+00
4.800000000000000000e+01 -2.400000000000000000e+01 0.000000000000000000e+00
5.400000000000000000e+01 2.400000000000000000e+01 0.000000000000000000e+00
5.400000000000000000e+01 -2.400000000000000000e+01 0.000000000000000000e+00
6.000000000000000000e+01 2.400000000000000000e+01 0.000000000000000000e+00
6.000000000000000000e+01 -2.400000000000000000e+01 0.000000000000000000e+00
1.500000000000000000e+01 3.000000000000000000e+01 0.000000000000000000e+00
1.500000000000000000e+01 -3.000000000000000000e+01 0.000000000000000000e+00
2.100000000000000000e+01 3.000000000000000000e+01 0.000000000000000000e+00
2.100000000000000000e+01 -3.000000000000000000e+01 0.000000000000000000e+00
2.700000000000000000e+01 3.000000000000000000e+01 0.000000000000000000e+00
2.700000000000000000e+01 -3.000000000000000000e+01 0.000000000000000000e+00
3.300000000000000000e+01 3.000000000000000000e+01 0.000000000000000000e+00
3.300000000000000000e+01 -3.000000000000000000e+01 0.000000000000000000e+00
3.900000000000000000e+01 3.000000000000000000e+01 0.000000000000000000e+00
3.900000000000000000e+01 -3.000000000000000000e+01 0.000000000000000000e+00
4.500000000000000000e+01 3.000000000000000000e+01 0.000000000000000000e+00
4.500000000000000000e+01 -3.000000000000000000e+01 0.000000000000000000e+00
5.100000000000000000e+01 3.000000000000000000e+01 0.000000000000000000e+00
5.100000000000000000e+01 -3.000000000000000000e+01 0.000000000000000000e+00
5.700000000000000000e+01 3.000000000000000000e+01 0.000000000000000000e+00
5.700000000000000000e+01 -3.000000000000000000e+01 0.000000000000000000e+00
1.800000000000000000e+01 3.600000000000000000e+01 0.000000000000000000e+00
1.800000000000000000e+01 -3.600000000000000000e+01 0.000000000000000000e+00
2.400000000000000000e+01 3.600000000000000000e+01 0.000000000000000000e+00
2.400000000000000000e+01 -3.600000000000000000e+01 0.000000000000000000e+00
3.000000000000000000e+01 3.600000000000000000e+01 0.000000000000000000e+00
3.000000000000000000e+01 -3.600000000000000000e+01 0.000000000000000000e+00
3.600000000000000000e+01 3.600000000000000000e+01 0.000000000000000000e+00
3.600000000000000000e+01 -3.600000000000000000e+01 0.000000000000000000e+00
4.200000000000000000e+01 3.600000000000000000e+01 0.000000000000000000e+00
4.200000000000000000e+01 -3.600000000000000000e+01 0.000000000000000000e+00
4.800000000000000000e+01 3.600000000000000000e+01 0.000000000000000000e+00
4.800000000000000000e+01 -3.600000000000000000e+01 0.000000000000000000e+00
5.400000000000000000e+01 3.600000000000000000e+01 0.000000000000000000e+00
5.400000000000000000e+01 -3.600000000000000000e+01 0.000000000000000000e+00
